Number,Player,Last Season
Number 29,Moritz Volz,03
Number 29,Ashley Cole,01
Number 29,Moritz Volz,01
Number 29,Jermaine Pennant,01
Number 29,Stephen Hughes,95
Number 30,Matt Turner,23
Number 30,Eddie Nketiah,22
Number 30,Ainsley Maitland-Niles,18
Number 30,Chu-young Park,14
Number 30,Armand Traoré,12
Number 30,Ryo Miyaichi,12
Number 30,Yossi Benayoun,12
Number 30,Armand Traoré,10
Number 30,Armand Traoré,08
Number 30,Jérémie Aliadière,07
Number 30,Jérémie Aliadière,05
Number 30,Paolo Vernazza,01
Number 30,Tommy Black,99
Number 30,Gavin McGowan,98
Number 31,Karl Hein,23
Number 31,Sead Kolasinac,22
Number 31,Jeff Reine-Adélaïde,17
Number 31,Ryo Miyaichi,14
Number 31,Ryo Miyaichi,12
Number 31,Sol Campbell,10
Number 31,Gavin Hoyte,08
Number 31,Justin Hoyte,09
Number 31,Jérémie Aliadière,02
Number 31,Sebastian Svärd,03
Number 31,Stuart Taylor,01
Number 31,Ashley Cole,99
Number 31,Matthew Rose,97
Number 31,Chris Kiwomya,95
Number 33,Arthur Okonkwo,24
Number 33,Arthur Okonkwo,22
Number 33,Mathew Ryan,21
Number 33,Matt Macey,21
Number 33,Petr Cech,18
Number 33,Matthew Connolly,07
Number 33,Nicklas Bendtner,06
Number 33,Graham Stack,04
Number 33,Tommy Black,00
Number 33,Greg Lincoln,99
Number 33,Gavin McGowan,95
Number 35,Oleksandr Zinchenko,23
Number 35,Gabriel Martinelli,22
Number 35,Mohamed Elneny,18
Number 35,Gedion Zelalem,15
Number 35,Francis Coquelin,10
Number 35,Patrick Cregg,06
Number 35,Johan Djourou,05
Number 35,Moritz Volz,01
Number 35,Graham Barrett,00
Number 35,Ömer Riza,99
Number 35,Paolo Vernazza,98
Number 41,Declan Rice,24
Number 41,Mauro Bandeira,23
Number 41,Ben Cottrell,21
Number 41,Robbie Burton,20
Number 41,Josh Dasilva,17
Number 41,Jay Emmanuel-Thomas,11
Number 41,Gavin Hoyte,09
Number 41,Joe O'Cearuill,07
Number 41,Arturo Lupoli,06
Number 41,Chris Wright,05
Number 41,Craig Holloway,03
